player,tag,closer stars,holds,bleeds,nuked,total stars,three stars
opse2013,2J28J9RU,6,3,0,0,6,2,
Space12345,8002Y989,0,3,0,0,4,1,
Eleazar,C8GRJVL0,3,0,0,0,6,2,
Darth Carlos,VJG8CCUG,3,1,1,0,4,1,
Blaine,RCYRQ8LG,0,1,1,0,4,0,
Aboy,VQ9PUJV2,0,1,0,0,4,1,
Czech1Czech2,22CP2Y828,3,1,0,1,6,2,
Tyrion,99G8QGJV,3,1,0,0,5,1,
Ethan,P8UUL9CJ,0,1,0,0,6,2,
You,CJGQOLOO,3,2,1,0,5,1,
Steve,QVRV9VGG,6,1,2,0,6,2,
Kighr,J0RJP9LG,3,1,1,0,6,2,
RedACE,GRJLGCUQ,3,1,3,0,5,1,
Whooboy,22UOVV2JJ,0,1,0,0,4,0,
Mord,22JGQUCJQ,3,2,2,0,4,1,
Anthony,YPPQ8G99,6,1,1,0,6,2,
Caesar,J0Vj8OUQ,3,1,1,0,5,1,
Jippieh Yeah,YCYV88UV,3,2,1,0,6,2,
Brodavidict,YYQQR2UY,3,1,1,0,5,1,
Amagnus,JVQ8JPQV,6,1,0,0,6,2,
Simlin,2GO989G2U,3,1,0,0,5,1,
DimSum,Y9GV0QQ,3,0,1,0,5,1,
Golden Thumbs,90JRCPL8,3,1,2,0,5,1,
Poz,PPRYLOUY,0,0,1,0,4,1,
Tukutae,2GCPJY82Y,3,0,1,0,5,1,
Moose Knuckle,2PCQ29CR9,6,0,0,0,6,2,
Katie-cakes,G2QQ0GGG2,3,0,1,0,4,1,
TheDad,229YVP9UC,0,0,2,2,2,0,
Ninja,YCR9JGR8,3,1,3,2,3,1,
paytax,8QCYR9J,3,0,0,0,5,1,
secretslayer297,P2UJ9YCU,6,0,0,0,6,2,
ritteshstark,2GC0V8VPQ,6,1,2,0,6,2,
Trappist9,RJLYJYCG,0,0,1,0,3,1,
liam,28Q8YCPL0,3,0,1,0,4,1,
lemur,2ULCJQU9C,6,0,1,0,6,2,
